base_cake,truffle_type,primary_flavor,secondary_flavor,color_group,customer,date,kg
Butter,Chocolate Outer,Spice,Black Cherry,Tiffany,Slugworth,2016-01-01,10254.905188268174
Tiramisu,Candy Outer,Spice,Rock and Rye,Taupe,Slugworth,2016-01-01,9761.759297763618
Sponge,Jelly Filled,Wild Cherry Cream,Wild Cherry Cream,Slate,Slugworth,2016-01-01,8046.812331757038
Sponge,Chocolate Outer,Fruit Punch,Pear,Teal,Slugworth,2016-01-01,1285.2443125858028
Pound,Chocolate Outer,Orange,Cucumber,Taupe,Slugworth,2016-01-01,3837.0603300148
Butter,Candy Outer,Coconut,Wild Cherry Cream,Taupe,Slugworth,2016-01-01,6479.983806483469
Butter,Chocolate Outer,Irish Cream,Kiwi,Slate,Slugworth,2016-01-01,3444.6924902069513
Cheese,Jelly Filled,Dill Pickle,Peppermint,Teal,Slugworth,2016-01-01,3224.193927047708
Chiffon,Candy Outer,Coconut,Kiwi,White,Slugworth,2016-01-01,12253.16198176516
Butter,Candy Outer,Horchata,Cucumber,Tiffany,Slugworth,2016-01-01,6703.925072231119
Butter,Jelly Filled,Ginger Ale,Fuzzy Navel,Olive,Slugworth,2016-01-01,5191.188320127746
Cheese,Jelly Filled,Lemon,Pear,Black,Slugworth,2016-01-01,4102.854392818466
Cheese,Chocolate Outer,Chocolate,Fuzzy Navel,Rose,Slugworth,2016-01-01,2101.704193056457
Tiramisu,Candy Outer,Chocolate Mint,Fuzzy Navel,Amethyst,Slugworth,2016-01-01,11762.032237865897
Sponge,Chocolate Outer,Vanilla,Black Cherry,Slate,Slugworth,2016-01-01,8577.59878370856
Chiffon,Jelly Filled,Plum,Banana,Olive,Slugworth,2016-01-01,5060.16373155615
Tiramisu,Candy Outer,Bavarian Cream,Butter Rum,Rose,Slugworth,2016-01-01,8862.155391090133
Sponge,Jelly Filled,Cherry Cola,Vanilla,Rose,Slugworth,2016-01-01,8721.546141867124
Sponge,Chocolate Outer,Cheesecake,Mojito,Amethyst,Slugworth,2016-01-01,12329.378871550352
Cheese,Candy Outer,Kettle Corn,Toffee,Opal,Slugworth,2016-01-01,2466.7048685705095
Butter,Candy Outer,Orange Pineapple	P,Dill Pickle,Slate,Slugworth,2016-01-01,4249.109158537541
Sponge,Jelly Filled,Sassafras,Black Cherry,Amethyst,Slugworth,2016-01-01,3301.6409078584766
Chiffon,Jelly Filled,Chocolate,Black Currant,Rose,Slugworth,2016-01-01,6111.512045975044
Tiramisu,Candy Outer,Orange Pineapple	P,Apple,Rose,Slugworth,2016-01-01,2763.9323910950097
Butter,Chocolate Outer,Watermelon,Toffee,Teal,Slugworth,2016-01-01,2570.8909631214715
Chiffon,Jelly Filled,Lemon Bar,Apple,Tiffany,Perk-a-Cola,2016-01-01,16055.59187264808
Tiramisu,Jelly Filled,Vanilla,Tutti Frutti,Rose,Perk-a-Cola,2016-01-01,47206.635181285295
Cheese,Candy Outer,Pink Lemonade,Fuzzy Navel,Opal,Perk-a-Cola,2016-01-01,11735.454356258695
Tiramisu,Candy Outer,Gingersnap,Black Cherry,Black,Perk-a-Cola,2016-01-01,7952.407728217816
Cheese,Jelly Filled,Orange Brandy,Black Currant,Citrine,Perk-a-Cola,2016-01-01,24614.749704830752
Cheese,Jelly Filled,Dill Pickle,Passion Fruit,Rose,Perk-a-Cola,2016-01-01,49094.54970729355
Butter,Jelly Filled,Pink Lemonade,Kiwi,Opal,Perk-a-Cola,2016-01-01,24850.424328490008
Tiramisu,Jelly Filled,Pink Lemonade,Mango,Olive,Perk-a-Cola,2016-01-01,31398.355899222337
Sponge,Chocolate Outer,Dill Pickle,Tangerine,Amethyst,Perk-a-Cola,2016-01-01,7999.619155857232
Sponge,Chocolate Outer,Fruit Punch,Ginger Beer,White,Perk-a-Cola,2016-01-01,17890.139551991248
Pound,Candy Outer,Cheesecake,Cucumber,Burgundy,Perk-a-Cola,2016-01-01,6027.794119809502
Chiffon,Chocolate Outer,Cherry Cream Spice,Whipped Cream,Black,Perk-a-Cola,2016-01-01,16949.727465120875
Butter,Chocolate Outer,Plum,Fuzzy Navel,Taupe,Perk-a-Cola,2016-01-01,53124.23701956201
Cheese,Jelly Filled,Vanilla,Tutti Frutti,White,Perk-a-Cola,2016-01-01,6323.462970634683
Butter,Jelly Filled,Wintergreen,Wild Cherry Cream,Slate,Perk-a-Cola,2016-01-01,36189.013488809265
Butter,Candy Outer,Watermelon,Dill Pickle,Amethyst,Perk-a-Cola,2016-01-01,15520.348245238616
Chiffon,Chocolate Outer,Ginger Lime,Egg Nog,Citrine,Perk-a-Cola,2016-01-01,56971.63352117757
Chiffon,Jelly Filled,Chocolate Mint,Whipped Cream,Amethyst,Perk-a-Cola,2016-01-01,11240.141999096792
Sponge,Chocolate Outer,Spice,Banana,White,Perk-a-Cola,2016-01-01,10046.32922274748
Cheese,Jelly Filled,Horchata,Tutti Frutti,Olive,Perk-a-Cola,2016-01-01,7652.233018564249
Sponge,Jelly Filled,Acai Berry,Rum,Slate,Perk-a-Cola,2016-01-01,15148.125121104422
Butter,Jelly Filled,Orange,Passion Fruit,Slate,Perk-a-Cola,2016-01-01,37726.553388431996
Chiffon,Candy Outer,Irish Cream,Hazelnut,White,Perk-a-Cola,2016-01-01,8031.352504759401
Cheese,Chocolate Outer,Birch Beer,Apple,Olive,Perk-a-Cola,2016-01-01,30217.377953074196
Butter,Chocolate Outer,Chocolate Mint,Papaya,Amethyst,Perk-a-Cola,2016-01-01,46055.74483945218
Butter,Candy Outer,Amaretto,Ginger Beer,Amethyst,Fickelgruber,2016-01-01,6312.275272048896
Butter,Jelly Filled,Coconut,Rum,White,Fickelgruber,2016-01-01,13172.52510930348
Chiffon,Jelly Filled,Orange Pineapple	P,Papaya,Olive,Fickelgruber,2016-01-01,26405.226913393286
Sponge,Jelly Filled,Acai Berry,Fuzzy Navel,Citrine,Fickelgruber,2016-01-01,22521.789443889455
Chiffon,Candy Outer,Acai Berry,Lemon,Olive,Fickelgruber,2016-01-01,7461.393327879902
Tiramisu,Chocolate Outer,Pink Lemonade,Mojito,Opal,Fickelgruber,2016-01-01,15429.651481666677
Chiffon,Candy Outer,Sassafras,Lemon,Burgundy,Fickelgruber,2016-01-01,2848.6125769822593
Sponge,Candy Outer,Vanilla,Rum,Opal,Fickelgruber,2016-01-01,16722.74318416463
Chiffon,Candy Outer,Pecan,Ginger Beer,Slate,Fickelgruber,2016-01-01,24945.21079259446
Cheese,Jelly Filled,Pink Lemonade,Apple,White,Fickelgruber,2016-01-01,2623.7760553168873
Cheese,Chocolate Outer,Orange Pineapple	P,Banana,White,Fickelgruber,2016-01-01,14466.342964975716
Cheese,Chocolate Outer,Wintergreen,Rum,Opal,Fickelgruber,2016-01-01,21845.868195296956
Chiffon,Candy Outer,Spice,Hazelnut,Olive,Fickelgruber,2016-01-01,13118.195541363177
Butter,Jelly Filled,Wild Cherry Cream,Kiwi,White,Fickelgruber,2016-01-01,13477.323628397895
Butter,Candy Outer,Coffee,Apple,Burgundy,Fickelgruber,2016-01-01,15517.401785437096
Pound,Candy Outer,Watermelon,Egg Nog,Burgundy,Fickelgruber,2016-01-01,11414.894204090091
Sponge,Jelly Filled,Kettle Corn,Butter Rum,Olive,Fickelgruber,2016-01-01,5439.885326300997
Pound,Jelly Filled,Lemon Bar,Black Currant,Slate,Fickelgruber,2016-01-01,19244.35465533032
Tiramisu,Chocolate Outer,Dill Pickle,Rum,Black,Fickelgruber,2016-01-01,13062.847136354894
Chiffon,Chocolate Outer,Kettle Corn,Mixed Berry,Rose,Fickelgruber,2016-01-01,16188.23047110687
Pound,Candy Outer,Apricot,Banana,Teal,Fickelgruber,2016-01-01,16479.205566682864
Cheese,Candy Outer,Butter Toffee,Hazelnut,Black,Fickelgruber,2016-01-01,19942.20117341608
Chiffon,Chocolate Outer,Lemon,Cucumber,Tiffany,Fickelgruber,2016-01-01,5687.501769757052
Tiramisu,Candy Outer,Gingersnap,Butter Rum,Tiffany,Fickelgruber,2016-01-01,18097.842332376884
Cheese,Jelly Filled,Ginger Ale,Rum,Opal,Fickelgruber,2016-01-01,3468.1000316379836
Pound,Jelly Filled,Margarita,Papaya,White,Zebrabar,2016-01-01,15400.198253278717
Sponge,Chocolate Outer,Pecan,Wild Cherry Cream,Black,Zebrabar,2016-01-01,7833.039511710402
Butter,Chocolate Outer,Orange,Mango,Tiffany,Zebrabar,2016-01-01,17704.33469117318
Chiffon,Jelly Filled,Irish Cream,Apricot,Amethyst,Zebrabar,2016-01-01,7733.613739024253
Sponge,Candy Outer,Caramel Cream,Tangerine,Opal,Zebrabar,2016-01-01,15844.49610217279
Pound,Jelly Filled,Lemon Bar,Toffee,Slate,Zebrabar,2016-01-01,4869.2122700863
Pound,Jelly Filled,Cherry Cream Spice,Apple,Rose,Zebrabar,2016-01-01,14777.97478327506
Cheese,Chocolate Outer,Butter Milk,Rum,Teal,Zebrabar,2016-01-01,26717.139470080918
Tiramisu,Jelly Filled,Lemon Custard,Banana,Teal,Zebrabar,2016-01-01,31249.043197882038
Pound,Jelly Filled,Grand Mariner,Mixed Berry,Olive,Zebrabar,2016-01-01,16621.17760914622
Pound,Candy Outer,Cream Soda,Black Currant,Opal,Zebrabar,2016-01-01,5064.899278592753
Tiramisu,Chocolate Outer,Kettle Corn,Butter Rum,Citrine,Zebrabar,2016-01-01,12368.679139335405
Tiramisu,Jelly Filled,Wild Cherry Cream,Mixed Berry,Citrine,Zebrabar,2016-01-01,7273.994014902429
Tiramisu,Chocolate Outer,Bavarian Cream,Rum,Olive,Zebrabar,2016-01-01,20377.04909864285
Tiramisu,Jelly Filled,Lemon Bar,Vanilla,Amethyst,Zebrabar,2016-01-01,19156.505768209543
Cheese,Chocolate Outer,Watermelon,Black Currant,Teal,Zebrabar,2016-01-01,11053.298991350346
Sponge,Candy Outer,Butter Milk,Hazelnut,Rose,Zebrabar,2016-01-01,3176.347036311258
Butter,Jelly Filled,Irish Cream,Tangerine,Opal,Zebrabar,2016-01-01,17942.019084577918
Pound,Candy Outer,Dill Pickle,Rock and Rye,Slate,Zebrabar,2016-01-01,3728.1635319052166
Sponge,Chocolate Outer,Wintergreen,Ginger Beer,Slate,Zebrabar,2016-01-01,28713.461267150287
Butter,Jelly Filled,Fruit Punch,Papaya,Opal,Zebrabar,2016-01-01,26063.02797111067
Butter,Candy Outer,Toasted Coconut,Rock and Rye,Teal,Zebrabar,2016-01-01,8413.90137952604
Chiffon,Candy Outer,Sassafras,Black Currant,Black,Zebrabar,2016-01-01,23810.297138860667
Chiffon,Jelly Filled,Cherry Cola,Apricot,Tiffany,Zebrabar,2016-01-01,31793.619902133665
Cheese,Candy Outer,Doughnut,Mango,Slate,Zebrabar,2016-01-01,33407.95001802345
Cheese,Chocolate Outer,Bavarian Cream,Papaya,Olive,Dandy's Candies,2016-01-01,31479.105815204086
Cheese,Candy Outer,Wild Cherry Cream,Kiwi,Burgundy,Dandy's Candies,2016-01-01,29103.02548930235
Sponge,Chocolate Outer,Apricot,Banana,Slate,Dandy's Candies,2016-01-01,23696.847144881423
Chiffon,Jelly Filled,Raspberry Ginger Ale,Mixed Berry,Taupe,Dandy's Candies,2016-01-01,37363.39420776958
Sponge,Jelly Filled,Chocolate,Egg Nog,Olive,Dandy's Candies,2016-01-01,27997.33212619274
Chiffon,Jelly Filled,Kettle Corn,Hazelnut,Rose,Dandy's Candies,2016-01-01,47149.50393778749
Chiffon,Jelly Filled,Wintergreen,Apple,Slate,Dandy's Candies,2016-01-01,27648.20958809321
Chiffon,Chocolate Outer,Blueberry,Pear,Citrine,Dandy's Candies,2016-01-01,39290.229888806236
Pound,Candy Outer,Lemon,Wild Cherry Cream,White,Dandy's Candies,2016-01-01,31476.1724318943
Tiramisu,Chocolate Outer,Toasted Coconut,Vanilla,Citrine,Dandy's Candies,2016-01-01,41901.86976724381
Pound,Jelly Filled,Doughnut,Black Cherry,Rose,Dandy's Candies,2016-01-01,37382.48950714955
Butter,Chocolate Outer,Raspberry Ginger Ale,Apple,Olive,Dandy's Candies,2016-01-01,16820.245479351124
Cheese,Jelly Filled,Vanilla,Egg Nog,Tiffany,Dandy's Candies,2016-01-01,19515.240730845617
Sponge,Candy Outer,Cheesecake,Hazelnut,Black,Dandy's Candies,2016-01-01,21337.434734993312
Cheese,Chocolate Outer,Lemon,Mixed Berry,Citrine,Dandy's Candies,2016-01-01,39655.93273664817
Butter,Candy Outer,Ginger Lime,Vanilla,Burgundy,Dandy's Candies,2016-01-01,32037.5893865923
Sponge,Chocolate Outer,Lemon Bar,Black Currant,Burgundy,Dandy's Candies,2016-01-01,17579.549702787182
Pound,Chocolate Outer,Lemon,Dill Pickle,Slate,Dandy's Candies,2016-01-01,13951.962561220404
Chiffon,Candy Outer,Caramel Cream,Dill Pickle,Citrine,Dandy's Candies,2016-01-01,28225.6214236252
Butter,Jelly Filled,Cheesecake,Pear,Olive,Dandy's Candies,2016-01-01,20368.161311147793
Pound,Candy Outer,Apricot,Toffee,Olive,Dandy's Candies,2016-01-01,11138.609426836278
Tiramisu,Chocolate Outer,Wild Cherry Cream,Tangerine,Opal,Dandy's Candies,2016-01-01,48289.089897313854
Cheese,Chocolate Outer,Coconut,Black Currant,Citrine,Dandy's Candies,2016-01-01,30954.701322471516
Butter,Chocolate Outer,Butter Milk,Banana,Olive,Dandy's Candies,2016-01-01,21116.585407540308
Chiffon,Chocolate Outer,Pecan,Wild Cherry Cream,Taupe,Dandy's Candies,2016-01-01,9286.872858156543
Pound,Jelly Filled,Gingersnap,Kiwi,Slate,Bertie Bott,2016-01-01,25055.635218515174
Sponge,Jelly Filled,Orange Pineapple	P,Toffee,Burgundy,Bertie Bott,2016-01-01,19561.38734033014
Sponge,Candy Outer,Amaretto,Mango,Opal,Bertie Bott,2016-01-01,36707.149090836596
Butter,Jelly Filled,Apricot,Hazelnut,Amethyst,Bertie Bott,2016-01-01,41506.53039075288
Sponge,Chocolate Outer,Black Licorice,Black Currant,Burgundy,Bertie Bott,2016-01-01,43600.80224354276
Chiffon,Chocolate Outer,Sour,Tutti Frutti,Amethyst,Bertie Bott,2016-01-01,20028.665751150565
Sponge,Chocolate Outer,Lemon Bar,Lemon,Taupe,Bertie Bott,2016-01-01,18541.38771041978
Sponge,Candy Outer,Sassafras,Tangerine,White,Bertie Bott,2016-01-01,25326.709938019
Butter,Chocolate Outer,Vanilla,Papaya,Amethyst,Bertie Bott,2016-01-01,42288.48040347752
Pound,Candy Outer,Wintergreen,Toffee,Citrine,Bertie Bott,2016-01-01,31351.85365375183
Cheese,Jelly Filled,Lemon Bar,Hazelnut,Citrine,Bertie Bott,2016-01-01,28887.303565313898
Chiffon,Chocolate Outer,Kettle Corn,Rock and Rye,Black,Bertie Bott,2016-01-01,26114.400932904933
Tiramisu,Jelly Filled,Butter Toffee,Butter Rum,Amethyst,Bertie Bott,2016-01-01,34278.32217261763
Chiffon,Jelly Filled,Cheesecake,Mojito,White,Bertie Bott,2016-01-01,14556.84790938598
Pound,Chocolate Outer,Pecan,Ginger Beer,Citrine,Bertie Bott,2016-01-01,19001.571286568385
Cheese,Candy Outer,Cream Soda,Ginger Beer,Taupe,Bertie Bott,2016-01-01,26427.579462038746
Pound,Chocolate Outer,Chocolate,Apricot,Teal,Bertie Bott,2016-01-01,28409.76130541845
Pound,Candy Outer,Creme de Menthe,Banana,Black,Bertie Bott,2016-01-01,37227.244689372346
Butter,Jelly Filled,Lemon Custard,Mango,Opal,Bertie Bott,2016-01-01,41974.24616418406
Tiramisu,Chocolate Outer,Lemon,Pear,Amethyst,Bertie Bott,2016-01-01,28829.98485840817
Cheese,Jelly Filled,Watermelon,Pear,Teal,Bertie Bott,2016-01-01,35079.92470719265
Pound,Candy Outer,Butter Toffee,Mojito,Taupe,Bertie Bott,2016-01-01,51710.55653493069
Sponge,Chocolate Outer,Toasted Coconut,Mojito,Amethyst,Bertie Bott,2016-01-01,12348.548578525984
Sponge,Chocolate Outer,Coffee,Papaya,White,Bertie Bott,2016-01-01,19775.78135358796
Pound,Jelly Filled,Black Licorice,Black Cherry,Teal,Bertie Bott,2016-01-01,14185.717643767399
Butter,Chocolate Outer,Spice,Black Cherry,Tiffany,Slugworth,2016-02-01,6741.929530635994
Tiramisu,Candy Outer,Spice,Rock and Rye,Taupe,Slugworth,2016-02-01,6206.652942921142
Sponge,Jelly Filled,Wild Cherry Cream,Wild Cherry Cream,Slate,Slugworth,2016-02-01,5442.122654298065
Sponge,Chocolate Outer,Fruit Punch,Pear,Teal,Slugworth,2016-02-01,1006.9303038496457
Pound,Chocolate Outer,Orange,Cucumber,Taupe,Slugworth,2016-02-01,2067.5055412348975
Butter,Candy Outer,Coconut,Wild Cherry Cream,Taupe,Slugworth,2016-02-01,5222.217082230893
Butter,Chocolate Outer,Irish Cream,Kiwi,Slate,Slugworth,2016-02-01,2248.310813570871
Cheese,Jelly Filled,Dill Pickle,Peppermint,Teal,Slugworth,2016-02-01,1511.7689847610409
Chiffon,Candy Outer,Coconut,Kiwi,White,Slugworth,2016-02-01,6072.7287012104325
Butter,Candy Outer,Horchata,Cucumber,Tiffany,Slugworth,2016-02-01,5955.191340073874
Butter,Jelly Filled,Ginger Ale,Fuzzy Navel,Olive,Slugworth,2016-02-01,2617.751329016115
Cheese,Jelly Filled,Lemon,Pear,Black,Slugworth,2016-02-01,3104.9153827661553
Cheese,Chocolate Outer,Chocolate,Fuzzy Navel,Rose,Slugworth,2016-02-01,1229.5381911753293
Tiramisu,Candy Outer,Chocolate Mint,Fuzzy Navel,Amethyst,Slugworth,2016-02-01,6127.199478357848
Sponge,Chocolate Outer,Vanilla,Black Cherry,Slate,Slugworth,2016-02-01,4145.515508039545
Chiffon,Jelly Filled,Plum,Banana,Olive,Slugworth,2016-02-01,2714.0914363255747
Tiramisu,Candy Outer,Bavarian Cream,Butter Rum,Rose,Slugworth,2016-02-01,7753.239602804044
Sponge,Jelly Filled,Cherry Cola,Vanilla,Rose,Slugworth,2016-02-01,5824.711160084586
Sponge,Chocolate Outer,Cheesecake,Mojito,Amethyst,Slugworth,2016-02-01,6375.106584939273
Cheese,Candy Outer,Kettle Corn,Toffee,Opal,Slugworth,2016-02-01,1514.647877196931
Butter,Candy Outer,Orange Pineapple	P,Dill Pickle,Slate,Slugworth,2016-02-01,2713.4968850447826
Sponge,Jelly Filled,Sassafras,Black Cherry,Amethyst,Slugworth,2016-02-01,1606.2321495808665
Chiffon,Jelly Filled,Chocolate,Black Currant,Rose,Slugworth,2016-02-01,3872.245889590031
Tiramisu,Candy Outer,Orange Pineapple	P,Apple,Rose,Slugworth,2016-02-01,2149.588648127363
Butter,Chocolate Outer,Watermelon,Toffee,Teal,Slugworth,2016-02-01,1372.6138455277287
Chiffon,Jelly Filled,Lemon Bar,Apple,Tiffany,Perk-a-Cola,2016-02-01,13952.45241468719
Tiramisu,Jelly Filled,Vanilla,Tutti Frutti,Rose,Perk-a-Cola,2016-02-01,25264.067991459724
Cheese,Candy Outer,Pink Lemonade,Fuzzy Navel,Opal,Perk-a-Cola,2016-02-01,10387.153816707587
Tiramisu,Candy Outer,Gingersnap,Black Cherry,Black,Perk-a-Cola,2016-02-01,4669.8691377262185
Cheese,Jelly Filled,Orange Brandy,Black Currant,Citrine,Perk-a-Cola,2016-02-01,18587.087252069716
Cheese,Jelly Filled,Dill Pickle,Passion Fruit,Rose,Perk-a-Cola,2016-02-01,33242.19945404933
Butter,Jelly Filled,Pink Lemonade,Kiwi,Opal,Perk-a-Cola,2016-02-01,19878.46530774126
Tiramisu,Jelly Filled,Pink Lemonade,Mango,Olive,Perk-a-Cola,2016-02-01,28445.091875627968
Sponge,Chocolate Outer,Dill Pickle,Tangerine,Amethyst,Perk-a-Cola,2016-02-01,5488.746999666848
