base_cake,truffle_type,primary_flavor,secondary_flavor,color_group,customer,date,kg
Tiramisu,Candy Outer,Ginger Lime,Apple,Opal,Slugworth,2017-02-01,1121.5138643970927
Chiffon,Chocolate Outer,Doughnut,Apricot,Olive,Perk-a-Cola,2017-02-01,13447.378155298857
Chiffon,Chocolate Outer,Cream Soda,Rock and Rye,Citrine,Slugworth,2017-02-01,3635.180625978165
Tiramisu,Chocolate Outer,Butter Pecan,Wild Cherry Cream,Taupe,Dandy's Candies,2017-02-01,7358.466290827859
Cheese,Jelly Filled,Doughnut,Vanilla,Amethyst,Fickelgruber,2017-02-01,2822.783284432549
Sponge,Jelly Filled,Pecan,Mixed Berry,Amethyst,Zebrabar,2017-02-01,8263.83485300312
Chiffon,Jelly Filled,Chocolate Mint,Passion Fruit,Tiffany,Fickelgruber,2017-02-01,8060.647652206197
Tiramisu,Jelly Filled,Blueberry,Apple,Teal,Slugworth,2017-02-01,6491.87556151383
Sponge,Candy Outer,Irish Cream,Pear,Teal,Slugworth,2017-02-01,4953.30242167392
Chiffon,Jelly Filled,Cherry Cream Spice,Banana,Amethyst,Zebrabar,2017-02-01,22046.679117488922
Sponge,Chocolate Outer,Black Licorice,Cucumber,Citrine,Perk-a-Cola,2017-02-01,2767.9579518707783
Butter,Chocolate Outer,Birch Beer,Wild Cherry Cream,Tiffany,Fickelgruber,2017-02-01,7089.849638592506
Tiramisu,Candy Outer,Sour,Lemon,Burgundy,Slugworth,2017-02-01,4212.05303170719
Butter,Jelly Filled,Plum,Apple,Rose,Perk-a-Cola,2017-02-01,4061.9473760708834
Tiramisu,Chocolate Outer,Mango,Papaya,Black,Fickelgruber,2017-02-01,10828.341057493824
Sponge,Jelly Filled,Butter Toffee,Passion Fruit,Burgundy,Perk-a-Cola,2017-02-01,34360.26032392521
Butter,Chocolate Outer,Birch Beer,Egg Nog,White,Perk-a-Cola,2017-02-01,21184.66582001661
Cheese,Candy Outer,Pear,Rum,Citrine,Zebrabar,2017-02-01,17293.263714709654
Pound,Chocolate Outer,Mango,Mojito,Slate,Zebrabar,2017-02-01,6511.299611417154
Chiffon,Chocolate Outer,Horchata,Black Cherry,Amethyst,Fickelgruber,2017-02-01,7359.637706775142
Sponge,Candy Outer,Kettle Corn,Whipped Cream,Rose,Perk-a-Cola,2017-02-01,5165.0881154763065
Sponge,Chocolate Outer,Blueberry,Mojito,Taupe,Dandy's Candies,2017-02-01,12692.38040121229
Sponge,Jelly Filled,Cherry Cola,Toffee,Amethyst,Perk-a-Cola,2017-02-01,28249.152614497852
Chiffon,Jelly Filled,Ginger Lime,Mango,Olive,Slugworth,2017-02-01,6022.42522191076
Pound,Chocolate Outer,Lemon,Mixed Berry,Burgundy,Slugworth,2017-02-01,4689.227663341884
Tiramisu,Jelly Filled,Ginger Ale,Tutti Frutti,Olive,Zebrabar,2017-02-01,12579.480221378384
Tiramisu,Chocolate Outer,Gingersnap,Toffee,White,Slugworth,2017-02-01,2845.462323383339
Chiffon,Jelly Filled,Orange Brandy,Cucumber,Amethyst,Fickelgruber,2017-02-01,11960.805446665498
Cheese,Chocolate Outer,Cherry Cola,Apple,Amethyst,Dandy's Candies,2017-02-01,15140.316314219232
Sponge,Candy Outer,Black Licorice,Peppermint,Teal,Slugworth,2017-02-01,952.5517453353681
Butter,Candy Outer,Coffee,Toffee,Amethyst,Slugworth,2017-02-01,1499.4122601978463
Tiramisu,Jelly Filled,Cherry Cream Spice,Tangerine,Teal,Perk-a-Cola,2017-02-01,11928.045639621987
Cheese,Candy Outer,Cheesecake,Kiwi,Citrine,Slugworth,2017-02-01,3568.342760373448
Cheese,Chocolate Outer,Fruit Punch,Pear,Opal,Perk-a-Cola,2017-02-01,29907.61218070255
Butter,Candy Outer,Orange Pineapple	P,Rock and Rye,Citrine,Zebrabar,2017-02-01,18819.45119007213
Tiramisu,Chocolate Outer,Butter Toffee,Whipped Cream,Slate,Dandy's Candies,2017-02-01,5401.6703163097745
Butter,Chocolate Outer,Sassafras,Rock and Rye,Opal,Zebrabar,2017-02-01,21085.980607775877
Butter,Jelly Filled,Creme de Menthe,Lemon,Rose,Dandy's Candies,2017-02-01,34128.62839680071
Cheese,Candy Outer,Raspberry Ginger Ale,Tutti Frutti,Black,Zebrabar,2017-02-01,13613.847446830345
Tiramisu,Jelly Filled,Doughnut,Butter Rum,Opal,Perk-a-Cola,2017-02-01,21749.49042571133
Butter,Jelly Filled,Black Licorice,Toffee,Black,Slugworth,2017-02-01,6446.677154290348
Cheese,Jelly Filled,Raspberry Ginger Ale,Tangerine,Burgundy,Dandy's Candies,2017-02-01,15744.764699886533
Chiffon,Candy Outer,Sour,Apricot,White,Perk-a-Cola,2017-02-01,12672.51482686958
Chiffon,Candy Outer,Ginger Ale,Tutti Frutti,Slate,Fickelgruber,2017-02-01,7421.369400415219
Cheese,Chocolate Outer,Apricot,Lemon,Opal,Zebrabar,2017-02-01,17445.378448798572
Sponge,Candy Outer,Plum,Ginger Beer,Burgundy,Perk-a-Cola,2017-02-01,6256.364591299668
Pound,Chocolate Outer,Orange Brandy,Lemon,Rose,Slugworth,2017-02-01,1254.7718430641623
